[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004301s ]
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004679s ]
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Tag[ view_template ] --START--
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Run LocationTemplate Behavior [ RunTime:0.006974s ]
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.007229s ]
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Tag[ view_parse ] --START--
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Run ParseTemplate Behavior [ RunTime:0.049997s ]
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.050287s ]
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Tag[ view_filter ] --START--
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Run ContentReplace Behavior [ RunTime:0.006357s ]
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Run TokenBuild Behavior [ RunTime:0.005845s ]
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.007664s ]
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Run ShowRuntime Behavior [ RunTime:0.006418s ]
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.027128s ]
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Tag[ view_end ] --START--
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.006689s ]
[ 2012-05-20T14:16:21+08:00 ] /myfcms/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.006932s ]
[ 2012-05-20T14:16:25+08:00 ] /myfcms/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-20T14:16:25+08:00 ] /myfcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002289s ]
