[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 025514facd07ed3aa77ea20f7bdde5d5.php 第 29 行.
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 025514facd07ed3aa77ea20f7bdde5d5.php 第 29 行.
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 025514facd07ed3aa77ea20f7bdde5d5.php 第 29 行.
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 025514facd07ed3aa77ea20f7bdde5d5.php 第 29 行.
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 025514facd07ed3aa77ea20f7bdde5d5.php 第 29 行.
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 025514facd07ed3aa77ea20f7bdde5d5.php 第 29 行.
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE topid=1  [ RunTime:0.000744s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant id - assumed 'id' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant id - assumed 'id' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant id - assumed 'id' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_archives` [ RunTime:0.010504s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT `id`,`typeid`,`typename`,`flag`,`click`,`title`,`color`,`writer`,`source`,`litpic`,`keywords`,`description`,`sendtime`,`goodpost`,`badpost`,`adminid`,`adminname` FROM `myf_archives` WHERE 1=1 and typeid in(1,2,3,4) ORDER BY id desc LIMIT 10   [ RunTime:0.010012s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.019257s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.003385s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009168s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.005789s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.010002s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.004246s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.011012s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.003163s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009452s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.004370s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009152s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.006448s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.010721s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.004055s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.008472s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.005340s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009946s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.003174s ]
[ 2012-05-26T12:14:08+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.008616s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.029818s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typedir - assumed 'typedir' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typedir - assumed 'typedir' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typedir - assumed 'typedir' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typedir - assumed 'typedir' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typedir - assumed 'typedir' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typedir - assumed 'typedir' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typedir - assumed 'typedir' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typedir - assumed 'typedir' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typedir - assumed 'typedir' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typedir - assumed 'typedir' 025514facd07ed3aa77ea20f7bdde5d5.php 第 43 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=1 ORDER BY sortrank asc  [ RunTime:0.001171s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 025514facd07ed3aa77ea20f7bdde5d5.php 第 48 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE topid=2  [ RunTime:0.001468s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | NOTIC: [8] Use of undefined constant id - assumed 'id' 025514facd07ed3aa77ea20f7bdde5d5.php 第 53 行.
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_archives` [ RunTime:0.011520s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT `id`,`typeid`,`typename`,`flag`,`click`,`title`,`color`,`writer`,`source`,`litpic`,`keywords`,`description`,`sendtime`,`goodpost`,`badpost`,`adminid`,`adminname` FROM `myf_archives` WHERE 1=1 and typeid in(2) ORDER BY id desc LIMIT 8   [ RunTime:0.005977s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009551s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.004784s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.010410s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.005013s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.011527s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.004387s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009464s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.004466s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.008874s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.003186s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.008740s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.003641s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.008241s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.002866s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.008974s ]
[ 2012-05-26T12:14:09+08:00 ] /myfcms/Cover/guonei-index.html?t=touch | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.002679s ]
