[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=0 ORDER BY sortrank asc  [ RunTime:0.010730s ]
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=0 ORDER BY sortrank asc  [ RunTime:0.001503s ]
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=5 ORDER BY sortrank asc  [ RunTime:0.003906s ]
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 61 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 61 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 61 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT * FROM `myf_arctype` WHERE topid=5  [ RunTime:0.001023s ]
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant id - assumed 'id' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant id - assumed 'id' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant id - assumed 'id' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | SQL: SHOW COLUMNS FROM `myf_archives` [ RunTime:0.011265s ]
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT `id`,`typeid`,`typename`,`flag`,`click`,`title`,`color`,`writer`,`source`,`litpic`,`keywords`,`description`,`sendtime`,`goodpost`,`badpost`,`adminid`,`adminname` FROM `myf_archives` WHERE 1=1 and typeid in(5,6,7,8) ORDER BY click desc LIMIT 10   [ RunTime:0.005925s ]
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.012093s ]
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='6' LIMIT 1   [ RunTime:0.009639s ]
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009723s ]
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='6' LIMIT 1   [ RunTime:0.005342s ]
[ 2012-05-25T08:42:08+08:00 ] /myfcms/junshi/index-62.html | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.013404s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='6' LIMIT 1   [ RunTime:0.006732s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.014615s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='6' LIMIT 1   [ RunTime:0.010449s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.010664s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='6' LIMIT 1   [ RunTime:0.004076s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.014791s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='6' LIMIT 1   [ RunTime:0.005923s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.018238s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='6' LIMIT 1   [ RunTime:0.009803s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.010488s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='6' LIMIT 1   [ RunTime:0.006042s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.014034s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='6' LIMIT 1   [ RunTime:0.005675s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.016498s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='6' LIMIT 1   [ RunTime:0.006226s ]
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typedir - assumed 'typedir' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typedir - assumed 'typedir' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant typedir - assumed 'typedir' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-05-25T08:42:09+08:00 ] /myfcms/junshi/index-62.html | NOTIC: [8] Use of undefined constant Arctype - assumed 'Arctype' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
