[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant value - assumed 'value' b0aaa8ff64489e1167c404b6d1eaf193.php 第 8 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=0 ORDER BY sortrank asc  [ RunTime:0.001336s ]
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-05-26T20:12:00+08:00 ] /myfcms/index.php?m=Archives&a=index&id=12 | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
