[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004308s ]
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004708s ]
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | INFO: Tag[ view_template ] --START--
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | INFO: Run LocationTemplate Behavior [ RunTime:0.006822s ]
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.007282s ]
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | INFO: Tag[ view_parse ] --START--
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  limit TagLibMyfcms.class.php 第 55 行.
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  type TagLibMyfcms.class.php 第 75 行.
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  limit TagLibMyfcms.class.php 第 87 行.
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  type TagLibMyfcms.class.php 第 75 行.
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  limit TagLibMyfcms.class.php 第 87 行.
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  type TagLibMyfcms.class.php 第 75 行.
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  limit TagLibMyfcms.class.php 第 87 行.
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  limit TagLibMyfcms.class.php 第 87 行.
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  urltype TagLibMyfcms.class.php 第 165 行.
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  typeid TagLibMyfcms.class.php 第 172 行.
[ 2012-05-31T06:28:45+08:00 ] /myfcms/ | NOTIC: [8] Undefined index:  flag TagLibMyfcms.class.php 第 182 行.
