[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Undefined index:  protype b0aaa8ff64489e1167c404b6d1eaf193.php 第 28 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=0 ORDER BY sortrank asc  [ RunTime:0.001680s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 53 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=1 ORDER BY sortrank asc  [ RunTime:0.001105s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 61 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' b0aaa8ff64489e1167c404b6d1eaf193.php 第 61 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT * FROM `myf_arctype` WHERE topid=1  [ RunTime:0.000903s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant id - assumed 'id' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | NOTIC: [8] Use of undefined constant id - assumed 'id' b0aaa8ff64489e1167c404b6d1eaf193.php 第 104 行.
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SHOW COLUMNS FROM `myf_archives` [ RunTime:0.016461s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT `id`,`typeid`,`typename`,`flag`,`click`,`title`,`color`,`writer`,`source`,`litpic`,`keywords`,`description`,`sendtime`,`goodpost`,`badpost`,`adminid`,`adminname`,`ishtml` FROM `myf_archives` WHERE 1=1 and typeid in(1,7,8) ORDER BY click desc LIMIT 10   [ RunTime:0.001963s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009583s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.004663s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009998s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.004560s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009395s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SELECT * FROM `myf_arctype` WHERE 1=1 AND id='7' LIMIT 1   [ RunTime:0.005224s ]
[ 2012-06-01T23:51:46+08:00 ] /myfcms/index.php?m=Html&a=archive&id=13 | SQL: SHOW COLUMNS FROM `myf_arctype` [ RunTime:0.009430s ]
