[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 58eb7f6a6506a76b2a85b1d908309341.php 第 27 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  protype 58eb7f6a6506a76b2a85b1d908309341.php 第 27 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 58eb7f6a6506a76b2a85b1d908309341.php 第 27 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Undefined index:  protype 58eb7f6a6506a76b2a85b1d908309341.php 第 27 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | SQL: SELECT `id`,`topid`,`sortrank`,`typename`,`typedir`,`arcnamerule`,`listnamerule`,`classname`,`methodname`,`keywords`,`seotitle`,`description`,`typepro` FROM `myf_arctype` WHERE 1=1  and topid=0 ORDER BY sortrank asc  [ RunTime:0.001285s ]
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 58eb7f6a6506a76b2a85b1d908309341.php 第 52 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 58eb7f6a6506a76b2a85b1d908309341.php 第 52 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 58eb7f6a6506a76b2a85b1d908309341.php 第 52 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 58eb7f6a6506a76b2a85b1d908309341.php 第 52 行.
[ 2012-05-31T20:51:03+08:00 ] /myfcms/index.php?m=Html&a=lists&id=7 | NOTIC: [8] Use of undefined constant typepro - assumed 'typepro' 58eb7f6a6506a76b2a85b1d908309341.php 第 52 行.
