[ 2012-06-03T14:15:01+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ app_begin ] --START--
[ 2012-06-03T14:15:01+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004272s ]
[ 2012-06-03T14:15:01+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004629s ]
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_template ] --START--
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run LocationTemplate Behavior [ RunTime:0.004354s ]
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.004643s ]
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_parse ] --START--
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ParseTemplate Behavior [ RunTime:0.080765s ]
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.081061s ]
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_filter ] --START--
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ContentReplace Behavior [ RunTime:0.001345s ]
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run TokenBuild Behavior [ RunTime:0.001473s ]
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001002s ]
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ShowRuntime Behavior [ RunTime:0.001605s ]
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006087s ]
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_end ] --START--
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001675s ]
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001905s ]
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=verify | INFO: Tag[ app_begin ] --START--
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001905s ]
[ 2012-06-03T14:15:02+08:00 ] /myfcms/admin/index.php?m=Login&a=verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002246s ]
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ app_begin ] --START--
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002030s ]
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002422s ]
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_template ] --START--
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run LocationTemplate Behavior [ RunTime:0.004896s ]
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005201s ]
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_parse ] --START--
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ParseTemplate Behavior [ RunTime:0.044807s ]
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045108s ]
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_filter ] --START--
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ContentReplace Behavior [ RunTime:0.001567s ]
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run TokenBuild Behavior [ RunTime:0.001751s ]
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000920s ]
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ShowRuntime Behavior [ RunTime:0.004196s ]
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009135s ]
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_end ] --START--
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001954s ]
[ 2012-06-03T18:14:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002207s ]
[ 2012-06-03T18:14:49+08:00 ] /myfcms/admin/index.php?m=Login&a=verify | INFO: Tag[ app_begin ] --START--
[ 2012-06-03T18:14:49+08:00 ] /myfcms/admin/index.php?m=Login&a=verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002132s ]
[ 2012-06-03T18:14:49+08:00 ] /myfcms/admin/index.php?m=Login&a=verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002527s ]
[ 2012-06-03T18:14:56+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ app_begin ] --START--
[ 2012-06-03T18:14:56+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004652s ]
