[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ app_begin ] --START--
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002275s ]
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002677s ]
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_template ] --START--
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run LocationTemplate Behavior [ RunTime:0.004064s ]
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.004322s ]
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_parse ] --START--
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ParseTemplate Behavior [ RunTime:0.043057s ]
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.043473s ]
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_filter ] --START--
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ContentReplace Behavior [ RunTime:0.001492s ]
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run TokenBuild Behavior [ RunTime:0.001460s ]
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000830s ]
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ShowRuntime Behavior [ RunTime:0.001572s ]
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006074s ]
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_end ] --START--
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001552s ]
[ 2012-05-30T20:32:48+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001772s ]
[ 2012-05-30T20:32:49+08:00 ] /myfcms/admin/index.php?m=Login&a=verify | INFO: Tag[ app_begin ] --START--
[ 2012-05-30T20:32:49+08:00 ] /myfcms/admin/index.php?m=Login&a=verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002090s ]
[ 2012-05-30T20:32:49+08:00 ] /myfcms/admin/index.php?m=Login&a=verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002442s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ app_begin ] --START--
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004527s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004883s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | SQL: SHOW COLUMNS FROM `myf_admin` [ RunTime:0.054549s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | SQL: SELECT * FROM `myf_admin` WHERE ( `userid` = 'admin' )  [ RunTime:0.003432s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ view_template ] --START--
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run LocationTemplate Behavior [ RunTime:0.005885s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ view_template ] --END-- [ RunTime:0.006117s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ view_parse ] --START--
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run ParseTemplate Behavior [ RunTime:0.068303s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ view_parse ] --END-- [ RunTime:0.068591s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ view_filter ] --START--
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run ContentReplace Behavior [ RunTime:0.003815s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run TokenBuild Behavior [ RunTime:0.004331s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004072s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run ShowRuntime Behavior [ RunTime:0.003998s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ view_filter ] --END-- [ RunTime:0.016894s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ view_end ] --START--
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run ShowPageTrace Behavior [ RunTime:0.004271s ]
[ 2012-05-30T20:32:55+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ view_end ] --END-- [ RunTime:0.004496s ]
[ 2012-05-30T20:32:56+08:00 ] /myfcms/admin/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-05-30T20:32:56+08:00 ] /myfcms/admin/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001913s ]
[ 2012-05-30T20:32:56+08:00 ] /myfcms/admin/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002333s ]
[ 2012-05-30T20:32:56+08:00 ] /myfcms/admin/index.php | SQL: SHOW COLUMNS FROM `myf_sys` [ RunTime:0.009539s ]
[ 2012-05-30T20:32:56+08:00 ] /myfcms/admin/index.php | SQL: SELECT * FROM `myf_sys` WHERE ( `id` = 3 ) LIMIT 1   [ RunTime:0.003246s ]
[ 2012-05-30T20:32:56+08:00 ] /myfcms/admin/index.php | INFO: Tag[ view_template ] --START--
