[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ app_begin ] --START--
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002027s ]
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002406s ]
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at D:\AppServ\www\myfcms\config.php:2) functions.php 第 411 行.
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\myfcms\config.php:2) LoginAction.class.php 第 2 行.
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_template ] --START--
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run LocationTemplate Behavior [ RunTime:0.005264s ]
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005553s ]
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_parse ] --START--
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ParseTemplate Behavior [ RunTime:0.033535s ]
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033841s ]
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_filter ] --START--
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ContentReplace Behavior [ RunTime:0.001276s ]
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run TokenBuild Behavior [ RunTime:0.001407s ]
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000807s ]
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ShowRuntime Behavior [ RunTime:0.001541s ]
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005631s ]
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\myfcms\config.php:2) View.class.php 第 120 行.
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\myfcms\config.php:2) View.class.php 第 121 行.
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\myfcms\config.php:2) View.class.php 第 122 行.
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_end ] --START--
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001555s ]
[ 2012-05-10T20:36:36+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001775s ]
