[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ app_begin ] --START--
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001967s ]
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002318s ]
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_template ] --START--
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run LocationTemplate Behavior [ RunTime:0.004079s ]
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.004341s ]
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_parse ] --START--
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ParseTemplate Behavior [ RunTime:0.042217s ]
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042509s ]
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_filter ] --START--
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ContentReplace Behavior [ RunTime:0.001409s ]
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run TokenBuild Behavior [ RunTime:0.001485s ]
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000835s ]
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ShowRuntime Behavior [ RunTime:0.001699s ]
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006041s ]
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_end ] --START--
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001626s ]
[ 2012-05-22T06:53:45+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001853s ]
[ 2012-05-22T06:53:46+08:00 ] /myfcms/admin/index.php?m=Login&a=verify | INFO: Tag[ app_begin ] --START--
