[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ app_begin ] --START--
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002058s ]
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002412s ]
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_template ] --START--
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run LocationTemplate Behavior [ RunTime:0.005036s ]
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005296s ]
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_parse ] --START--
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ParseTemplate Behavior [ RunTime:0.050013s ]
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.050297s ]
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_filter ] --START--
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ContentReplace Behavior [ RunTime:0.001235s ]
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run TokenBuild Behavior [ RunTime:0.001701s ]
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000874s ]
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ShowRuntime Behavior [ RunTime:0.001733s ]
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006147s ]
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_end ] --START--
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001563s ]
[ 2012-05-13T14:04:33+08:00 ] /myfcms/admin/index.php?m=Login&a=index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001802s ]
[ 2012-05-13T14:04:34+08:00 ] /myfcms/admin/index.php?m=Login&a=verify | INFO: Tag[ app_begin ] --START--
[ 2012-05-13T14:04:34+08:00 ] /myfcms/admin/index.php?m=Login&a=verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004851s ]
[ 2012-05-13T14:04:34+08:00 ] /myfcms/admin/index.php?m=Login&a=verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005236s ]
[ 2012-05-13T14:04:39+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ app_begin ] --START--
[ 2012-05-13T14:04:39+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002037s ]
[ 2012-05-13T14:04:39+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002460s ]
[ 2012-05-13T14:04:39+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | SQL: SHOW COLUMNS FROM `myf_admin` [ RunTime:0.008348s ]
[ 2012-05-13T14:04:39+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | SQL: SELECT * FROM `myf_admin` WHERE ( `userid` = 'admin' )  [ RunTime:0.002854s ]
[ 2012-05-13T14:04:39+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ view_template ] --START--
[ 2012-05-13T14:04:39+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run LocationTemplate Behavior [ RunTime:0.002611s ]
[ 2012-05-13T14:04:39+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ view_template ] --END-- [ RunTime:0.002855s ]
[ 2012-05-13T14:04:39+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ view_parse ] --START--
[ 2012-05-13T14:04:40+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run ParseTemplate Behavior [ RunTime:0.035798s ]
[ 2012-05-13T14:04:40+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ view_parse ] --END-- [ RunTime:0.036135s ]
[ 2012-05-13T14:04:40+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Tag[ view_filter ] --START--
[ 2012-05-13T14:04:40+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run ContentReplace Behavior [ RunTime:0.001222s ]
[ 2012-05-13T14:04:40+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run TokenBuild Behavior [ RunTime:0.001359s ]
[ 2012-05-13T14:04:40+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000917s ]
[ 2012-05-13T14:04:40+08:00 ] /myfcms/admin/index.php?m=Login&a=login_in | INFO: Run ShowRuntime Behavior [ RunTime:0.001585s ]
