[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002266s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | SQL: SHOW COLUMNS FROM `myf_sys` [ RunTime:0.008395s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | SQL: SELECT * FROM `myf_sys` WHERE ( `id` = 3 ) LIMIT 1   [ RunTime:0.002869s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Tag[ view_template ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.004663s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.004910s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.040184s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.040478s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001255s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.001257s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000809s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001564s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005511s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Tag[ view_end ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001621s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001851s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ app_begin ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002678s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003112s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | SQL: SHOW COLUMNS FROM `myf_sys` [ RunTime:0.009626s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | SQL: SELECT * FROM `myf_sys` WHERE id<3  [ RunTime:0.005689s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_template ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run LocationTemplate Behavior [ RunTime:0.006500s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_template ] --END-- [ RunTime:0.006787s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_parse ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run ParseTemplate Behavior [ RunTime:0.057421s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.057758s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_filter ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run ContentReplace Behavior [ RunTime:0.001400s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run TokenBuild Behavior [ RunTime:0.001368s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000929s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run ShowRuntime Behavior [ RunTime:0.001944s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006297s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_end ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Run ShowPageTrace Behavior [ RunTime:0.001713s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=top | INFO: Tag[ view_end ] --END-- [ RunTime:0.002377s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Tag[ app_begin ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005301s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005687s ]
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Tag[ view_template ] --START--
[ 2012-05-31T06:31:02+08:00 ] /myfcms/admin/index.php?m=Index&a=left | INFO: Run LocationTemplate Behavior [ RunTime:0.003773s ]
